19:33:15,6,-131
19:33:15,125,-16,-121
19:33:15,133,-17,-114
19:33:15,129,-20,-126
19:33:15,133,-23,-114
19:33:15,133,-7,-115
19:33:15,127,-1,-132
19:33:15,114,0,-133
19:33:15,112,7,-123
19:33:15,114,19,-125
19:33:15,110,9,-145
19:33:15,6,-131
19:33:15,125,-16,-121
19:33:15,133,-17,-114
19:33:15,129,-20,-126
19:33:15,133,-23,-114
19:33:15,133,-7,-115
19:33:15,127,-1,-132
19:33:15,114,0,-133
19:33:15,112,7,-123
19:33:15,114,19,-125
19:33:15,110,9,-145
19:33:15,6,-131
19:33:15,125,-16,-121
19:33:15,133,-17,-114
19:33:15,129,-20,-126
19:33:15,133,-23,-114
19:33:15,133,-7,-115
19:33:15,127,-1,-132
19:33:15,114,0,-133
19:33:15,112,7,-123
19:33:15,114,19,-125
19:33:15,110,9,-145
19:33:16,129,-10,-115
19:33:16,129,-15,-134
19:33:16,131,-27,-116
19:33:16,136,-17,-109
19:33:16,134,-7,-126
19:33:16,119,-4,-131
19:33:17,115,5,-123
19:33:17,114,19,-130
19:33:17,110,17,-145
19:33:17,110,-2,-138
19:33:17,120,-9,-122
19:33:17,128,-10,-122
19:33:17,126,-18,-130
19:33:17,134,-26,-112
19:33:17,137,-15,-114
19:33:17,130,-7,-132
19:33:17,117,-4,-133
19:33:17,114,9,-118
19:33:17,115,19,-136
19:33:17,106,13,-144
19:33:17,114,-5,-125
19:33:17,124,-7,-115
19:33:17,129,-13,-134
19:33:17,129,-25,-124
19:33:17,135,-24,-103
19:33:17,138,-14,-121
19:33:18,125,-7,-132
19:33:18,119,-1,-127
19:33:18,115,14,-127
19:33:18,113,17,-141
19:33:18,107,4,-138
19:33:18,119,-11,-120
19:33:18,129,-10,-127
19:33:18,127,-16,-123
19:33:18,132,-26,-117
19:33:18,137,-20,-109
19:33:18,133,-8,-124
19:33:18,120,-5,-132
19:33:18,116,5,-123
19:33:18,116,17,-132
19:33:18,110,17,-145
19:33:18,109,0,-133
19:33:18,120,-7,-123
19:33:18,127,-8,-121
19:33:18,126,-18,-129
19:33:18,134,-26,-111
19:33:19,138,-16,-114
19:33:19,131,-7,-132
19:33:19,118,-6,-128
19:33:19,113,9,-121
19:33:19,116,18,-136
19:33:19,108,12,-144
19:33:19,113,-6,-130
19:33:19,124,-8,-118
19:33:19,129,-13,-125
19:33:19,128,-24,-122
19:33:19,134,-24,-109
19:33:19,137,-12,-122
19:33:19,126,-5,-134
19:33:19,118,1,-128
19:33:19,113,12,-123
19:33:19,112,20,-140
19:33:19,105,9,-139
19:33:19,116,-10,-120
19:33:19,129,-13,-117
19:33:20,131,-16,-131
19:33:20,130,-25,-124
19:33:20,134,-18,-105
19:33:20,134,-8,-121
19:33:20,121,-2,-132
19:33:20,115,3,-130
19:33:20,113,15,-127
19:33:20,112,18,-142
19:33:20,108,2,-140
19:33:20,120,-12,-123
19:33:20,131,-14,-118
19:33:20,130,-18,-122
19:33:20,131,-26,-116
19:33:20,132,-12,-116
19:33:20,130,-2,-125
19:33:20,117,-1,-130
19:33:20,113,4,-133
19:33:20,115,15,-133
19:33:20,112,15,-143
19:33:20,111,-3,-134
19:33:21,123,-13,-119
19:33:21,131,-14,-122
19:33:21,128,-20,-124
19:33:21,134,-25,-114
19:33:21,135,-11,-112
19:33:21,128,-1,-134
19:33:21,114,2,-132
19:33:21,111,9,-124
19:33:21,114,18,-134
19:33:21,109,11,-141
19:33:21,116,-10,-124
19:33:21,131,-18,-107
19:33:21,134,-17,-127
19:33:21,129,-23,-123
19:33:21,133,-21,-108
19:33:21,132,-4,-119
19:33:21,123,2,-137
19:33:21,111,4,-132
19:33:21,111,12,-126
19:33:21,114,16,-141
19:33:22,108,5,-140
19:33:22,119,-15,-123
19:33:22,132,-17,-114
19:33:22,134,-18,-125
19:33:22,131,-26,-121
19:33:22,131,-13,-109
19:33:22,131,-1,-124
19:33:22,117,4,-136
19:33:22,112,6,-130
19:33:22,113,15,-127
19:33:22,113,14,-142
19:33:22,111,-5,-132
19:33:22,126,-19,-116
19:33:22,136,-18,-122
19:33:22,130,-21,-128
19:33:22,133,-23,-110
19:33:22,132,-6,-112
19:33:22,126,2,-134
19:33:22,112,4,-133
19:33:23,111,6,-123
19:33:23,114,16,-132
19:33:23,110,9,-137
19:33:23,118,-12,-126
19:33:23,130,-15,-111
19:33:23,135,-16,-121
19:33:23,130,-23,-116
19:33:23,132,-18,-109
19:33:23,132,-3,-125
19:33:23,119,4,-136
19:33:23,112,5,-132
19:33:23,112,13,-131
19:33:23,114,15,-141
19:33:23,109,0,-139
19:33:23,123,-18,-120
19:33:23,134,-18,-119
19:33:23,131,-18,-127
19:33:23,131,-23,-115
19:33:23,133,-10,-110
19:33:23,129,1,-129
19:33:24,113,3,-138
19:33:24,111,5,-126
19:33:24,114,15,-131
19:33:24,111,10,-143
19:33:24,115,-11,-132
19:33:24,130,-18,-115
19:33:24,135,-15,-124
19:33:24,129,-22,-128
19:33:24,133,-18,-113
19:33:24,132,-3,-119
19:33:24,122,4,-138
19:33:24,111,5,-136
19:33:24,111,12,-129
19:33:24,114,16,-136
19:33:24,109,3,-139
19:33:24,122,-18,-119
19:33:24,134,-17,-119
19:33:24,133,-18,-127
19:33:24,131,-23,-118
19:33:24,131,-11,-110
19:33:25,128,3,-130
19:33:25,114,4,-135
19:33:25,110,7,-129
19:33:25,113,16,-131
19:33:25,112,14,-145
19:33:25,113,-8,-133
19:33:25,128,-18,-115
19:33:25,136,-18,-123
19:33:25,130,-21,-125
19:33:25,133,-21,-116
19:33:25,132,-4,-117
19:33:25,125,4,-134
19:33:25,112,3,-133
19:33:25,111,10,-127
19:33:25,114,16,-139
19:33:25,108,7,-143
19:33:25,119,-15,-124
19:33:25,133,-18,-116
19:33:25,134,-19,-128
19:33:26,131,-25,-122
19:33:26,131,-15,-108
19:33:26,132,-1,-124
19:33:26,118,3,-134
19:33:26,112,6,-130
19:33:26,112,15,-127
19:33:26,112,14,-145
19:33:26,111,-3,-133
19:33:26,125,-18,-117
19:33:26,135,-17,-120
19:33:26,130,-20,-126
19:33:26,132,-23,-116
19:33:26,131,-6,-114
19:33:26,127,3,-132
19:33:26,113,4,-135
19:33:26,111,8,-127
19:33:26,114,17,-136
19:33:26,110,10,-139
19:33:26,118,-14,-128
19:33:26,131,-17,-114
19:33:27,134,-16,-124
19:33:27,129,-22,-124
19:33:27,132,-16,-113
19:33:27,132,-2,-122
19:33:27,120,4,-137
19:33:27,110,4,-131
19:33:27,110,14,-127
19:33:27,114,16,-139
19:33:27,109,2,-138
19:33:27,123,-15,-120
19:33:27,134,-19,-117
19:33:27,133,-19,-129
19:33:27,130,-25,-117
19:33:27,131,-12,-111
19:33:27,129,3,-128
19:33:27,114,6,-136
19:33:27,110,7,-130
19:33:27,112,16,-132
19:33:27,113,13,-146
19:33:27,113,-9,-132
19:33:28,128,-20,-115
19:33:28,136,-20,-122
19:33:28,130,-21,-127
19:33:28,132,-21,-114
19:33:28,130,-2,-118
19:33:28,123,5,-133
19:33:28,112,2,-131
19:33:28,111,7,-126
19:33:28,115,16,-137
19:33:28,109,7,-143
19:33:28,119,-12,-122
19:33:28,132,-17,-109
19:33:28,133,-17,-124
19:33:28,130,-25,-120
19:33:28,133,-17,-110
19:33:28,133,-2,-125
19:33:28,118,4,-137
19:33:28,111,7,-131
19:33:28,111,16,-126
19:33:28,112,15,-143
19:33:29,111,-4,-132
19:33:29,126,-20,-116
19:33:29,136,-18,-120
19:33:29,131,-20,-126
19:33:29,132,-21,-114
19:33:29,130,-5,-113
19:33:29,125,3,-132
19:33:29,113,1,-133
19:33:29,111,7,-126
19:33:29,116,16,-136
19:33:29,110,10,-143
19:33:29,116,-10,-126
19:33:29,128,-14,-116
19:33:29,133,-17,-126
19:33:29,131,-26,-119
19:33:29,134,-20,-107
19:33:29,135,-6,-124
19:33:29,121,1,-135
19:33:29,113,7,-130
19:33:30,112,17,-127
19:33:30,112,17,-143
19:33:30,109,-2,-133
19:33:30,124,-18,-118
19:33:30,134,-16,-120
19:33:30,130,-19,-128
19:33:30,132,-22,-115
19:33:30,133,-9,-113
19:33:30,128,0,-131
19:33:30,115,-1,-132
19:33:30,112,6,-124
19:33:30,116,17,-136
19:33:30,110,11,-141
19:33:30,115,-8,-127
19:33:30,126,-12,-116
19:33:30,131,-15,-128
19:33:30,129,-25,-118
19:33:30,134,-21,-106
19:33:30,136,-9,-122
19:33:30,123,0,-135
19:33:31,113,4,-129
19:33:31,111,16,-127
19:33:31,111,19,-144
19:33:31,107,2,-135
19:33:31,121,-16,-122
19:33:31,133,-16,-122
19:33:31,130,-18,-127
19:33:31,132,-25,-115
19:33:31,133,-12,-112
19:33:31,129,-2,-128
19:33:31,115,-2,-130
19:33:31,113,6,-124
19:33:31,114,17,-135
19:33:31,110,14,-144
19:33:31,113,-7,-132
19:33:31,125,-12,-114
19:33:31,131,-13,-125
19:33:31,128,-23,-122
19:33:31,135,-25,-106
19:33:31,137,-12,-118
19:33:32,127,-3,-132
19:33:32,116,2,-129
19:33:32,112,14,-121
19:33:32,113,19,-135
19:33:32,106,5,-137
19:33:32,119,-12,-122
19:33:32,131,-13,-118
19:33:32,131,-17,-133
19:33:32,130,-25,-119
19:33:32,134,-14,-107
19:33:32,132,-5,-124
19:33:32,117,-1,-137
19:33:32,113,5,-129
19:33:32,115,17,-131
19:33:32,111,16,-146
19:33:32,111,-4,-134
19:33:32,123,-12,-119
19:33:32,131,-13,-124
19:33:32,127,-22,-123
19:33:33,134,-26,-113
19:33:33,137,-12,-116
19:33:33,128,-4,-132
19:33:33,117,-1,-132
19:33:33,111,12,-125
19:33:33,113,19,-140
19:33:33,106,8,-140
19:33:33,116,-9,-125
19:33:33,128,-12,-121
19:33:33,131,-15,-133
19:33:33,130,-27,-120
19:33:33,134,-19,-106
19:33:33,134,-9,-121
19:33:33,120,-5,-135
19:33:33,115,2,-126
19:33:33,114,16,-131
19:33:33,112,18,-146
19:33:33,108,0,-137
19:33:33,119,-8,-120
19:33:33,129,-11,-123
19:33:34,127,-18,-127
19:33:34,134,-27,-113
19:33:34,138,-16,-115
19:33:34,130,-7,-131
19:33:34,118,-5,-129
19:33:34,113,9,-121
19:33:34,115,19,-132
19:33:34,107,13,-142
19:33:34,113,-4,-131
19:33:34,124,-7,-115
19:33:34,128,-10,-124
19:33:34,127,-24,-117
19:33:34,135,-24,-107
19:33:34,137,-13,-116
19:33:34,126,-8,-132
19:33:34,118,-1,-130
19:33:34,115,14,-127
19:33:34,113,19,-143
19:33:34,106,6,-140
19:33:34,116,-8,-122
19:33:35,126,-7,-125
19:33:35,126,-13,-132
19:33:35,130,-26,-119
19:33:35,137,-20,-104
19:33:35,135,-10,-125
19:33:35,121,-8,-129
19:33:35,117,2,-120
19:33:35,116,17,-131
19:33:35,111,16,-144
19:33:35,110,-1,-133
19:33:35,120,-7,-119
19:33:35,126,-6,-125
19:33:35,123,-18,-121
19:33:35,134,-26,-108
19:33:35,139,-17,-112
19:33:35,130,-9,-131
19:33:35,119,-6,-128
19:33:35,115,10,-124
19:33:35,114,20,-136
19:33:36,105,12,-143
19:33:36,113,-5,-129
19:33:36,124,-4,-114
19:33:36,127,-10,-124
19:33:36,128,-23,-121
19:33:36,135,-22,-109
19:33:36,136,-12,-118
19:33:36,124,-9,-126
19:33:36,119,-1,-124
19:33:36,117,15,-127
19:33:36,113,19,-143
19:33:36,106,4,-137
19:33:36,116,-3,-121
19:33:36,123,-3,-128
19:33:36,122,-15,-130
19:33:36,132,-27,-116
19:33:36,138,-20,-114
19:33:36,134,-11,-131
19:33:36,122,-10,-129
19:33:36,116,7,-122
19:33:37,117,17,-131
19:33:37,108,13,-144
19:33:37,111,-2,-131
19:33:37,121,-4,-114
19:33:37,126,-8,-129
19:33:37,126,-22,-124
19:33:37,135,-27,-105
19:33:37,139,-16,-116
19:33:37,128,-13,-124
19:33:37,121,-4,-120
19:33:37,116,13,-120
19:33:37,112,20,-144
19:33:37,105,8,-138
19:33:37,114,-3,-125
19:33:37,123,-3,-124
19:33:37,122,-11,-133
19:33:37,129,-25,-121
19:33:37,137,-20,-112
19:33:37,134,-13,-125
19:33:37,122,-12,-127
19:33:38,119,2,-118
19:33:38,119,15,-131
19:33:38,111,16,-144
19:33:38,108,1,-135
19:33:38,117,0,-125
19:33:38,122,-2,-132
19:33:38,121,-16,-122
19:33:38,134,-28,-107
19:33:38,139,-19,-115
19:33:38,132,-14,-129
19:33:38,123,-10,-123
19:33:38,117,11,-123
19:33:38,115,19,-136
19:33:38,106,10,-139
19:33:38,113,-3,-127
19:33:38,122,-1,-128
19:33:38,122,-8,-134
19:33:38,127,-23,-123
19:33:38,136,-22,-108
19:33:39,136,-15,-119
19:33:39,125,-16,-125
19:33:39,123,-5,-117
19:33:39,122,12,-128
19:33:39,112,15,-142
19:33:39,107,4,-137
19:33:39,114,6,-124
19:33:39,120,3,-131
19:33:39,119,-14,-128
19:33:39,133,-28,-110
19:33:39,140,-21,-114
19:33:39,134,-17,-127
19:33:39,126,-14,-123
19:33:39,121,7,-118
19:33:39,118,18,-136
19:33:39,106,9,-138
19:33:39,112,0,-128
19:33:39,119,5,-131
19:33:39,117,-2,-138
19:33:39,124,-22,-123
19:33:40,137,-22,-112
19:33:40,136,-18,-122
19:33:40,128,-20,-124
19:33:40,126,-9,-113
19:33:40,125,7,-127
19:33:40,115,11,-138
19:33:40,109,5,-134
19:33:40,113,8,-124
19:33:40,118,8,-135
19:33:40,114,-8,-133
19:33:40,129,-23,-114
19:33:40,138,-19,-113
19:33:40,132,-19,-127
19:33:40,129,-20,-121
19:33:40,126,0,-119
19:33:40,124,10,-137
19:33:40,108,9,-138
19:33:40,109,5,-128
19:33:40,114,13,-131
19:33:40,114,5,-139
19:33:41,119,-17,-127
19:33:41,134,-23,-112
19:33:41,137,-18,-120
19:33:41,129,-22,-123
19:33:41,129,-14,-112
19:33:41,128,3,-121
19:33:41,118,8,-138
19:33:41,109,6,-135
19:33:41,111,11,-127
19:33:41,115,14,-137
19:33:41,111,-2,-135
19:33:41,125,-21,-117
19:33:41,136,-20,-115
19:33:41,133,-20,-126
19:33:41,130,-23,-119
19:33:41,129,-6,-111
19:33:41,128,5,-130
19:33:41,112,5,-136
19:33:41,111,5,-126
19:33:41,114,16,-129
19:33:42,113,9,-139
19:33:42,116,-10,-129
19:33:42,130,-20,-113
19:33:42,134,-15,-122
19:33:42,128,-22,-122
19:33:42,131,-18,-112
19:33:42,132,-3,-121
19:33:42,121,5,-138
19:33:42,110,4,-133
19:33:42,110,13,-128
19:33:42,115,16,-138
19:33:42,109,2,-139
