recorded_time,delta_t,K,false_positive_ratio
1,0.05,1.0,28.511530398322847
1,0.05,1.5,9.685534591194969
1,0.05,2.0,2.9350104821802936
1,0.05,2.5,1.341719077568134
1,0.05,3.0,0.12578616352201258
1,0.25,1.0,21.467505241090144
1,0.25,1.5,6.3731656184486365
1,0.25,2.0,2.5576519916142555
1,0.25,2.5,0.8385744234800839
1,0.25,3.0,0.0
1,0.5,1.0,16.0167714884696
1,0.5,1.5,4.612159329140461
1,0.5,2.0,2.138364779874214
1,0.5,2.5,0.37735849056603776
1,0.5,3.0,0.0
1,0.75,1.0,12.243186582809225
1,0.75,1.5,3.3962264150943398
1,0.75,2.0,1.7190775681341717
1,0.75,2.5,0.04192872117400419
1,0.75,3.0,0.0
1,1.0,1.0,9.769392033542976
1,1.0,1.5,2.851153039832285
1,1.0,2.0,1.29979035639413
1,1.0,2.5,0.0
1,1.0,3.0,0.0
1,1.25,1.0,7.589098532494759
1,1.25,1.5,2.431865828092243
1,1.25,2.0,1.0482180293501049
1,1.25,2.5,0.0
1,1.25,3.0,0.0
1,1.5,1.0,5.911949685534592
1,1.5,1.5,2.0964360587002098
1,1.5,2.0,0.8385744234800839
1,1.5,2.5,0.0
1,1.5,3.0,0.0
1,1.75,1.0,4.612159329140461
1,1.75,1.5,1.8867924528301887
1,1.75,2.0,0.628930817610063
1,1.75,2.5,0.0
1,1.75,3.0,0.0
1,2.0,1.0,3.563941299790356
1,2.0,1.5,1.6771488469601679
1,2.0,2.0,0.41928721174004197
1,2.0,2.5,0.0
1,2.0,3.0,0.0
