recorded_time,delta_t,K,false_positive_ratio
1,0.05,1.0,25.660377358490567
1,0.05,1.5,9.517819706498951
1,0.05,2.0,0.25157232704402516
1,0.05,2.5,0.0
1,0.05,3.0,0.0
1,0.25,1.0,19.58071278825996
1,0.25,1.5,6.834381551362684
1,0.25,2.0,0.0
1,0.25,2.5,0.0
1,0.25,3.0,0.0
1,0.5,1.0,14.842767295597485
1,0.5,1.5,4.1928721174004195
1,0.5,2.0,0.0
1,0.5,2.5,0.0
1,0.5,3.0,0.0
1,0.75,1.0,11.11111111111111
1,0.75,1.5,2.2222222222222223
1,0.75,2.0,0.0
1,0.75,2.5,0.0
1,0.75,3.0,0.0
1,1.0,1.0,8.09224318658281
1,1.0,1.5,0.8805031446540881
1,1.0,2.0,0.0
1,1.0,2.5,0.0
1,1.0,3.0,0.0
1,1.25,1.0,6.20545073375262
1,1.25,1.5,0.20964360587002098
1,1.25,2.0,0.0
1,1.25,2.5,0.0
1,1.25,3.0,0.0
1,1.5,1.0,5.073375262054507
1,1.5,1.5,0.0
1,1.5,2.0,0.0
1,1.5,2.5,0.0
1,1.5,3.0,0.0
1,1.75,1.0,4.234800838574423
1,1.75,1.5,0.0
1,1.75,2.0,0.0
1,1.75,2.5,0.0
1,1.75,3.0,0.0
1,2.0,1.0,3.4381551362683433
1,2.0,1.5,0.0
1,2.0,2.0,0.0
1,2.0,2.5,0.0
1,2.0,3.0,0.0
