recorded_time,delta_t,K,false_positive_ratio
2,0.05,1.0,24.067085953878404
2,0.05,1.5,8.637316561844864
2,0.05,2.0,1.928721174004193
2,0.05,2.5,0.0
2,0.05,3.0,0.0
2,0.25,1.0,18.49056603773585
2,0.25,1.5,6.666666666666667
2,0.25,2.0,1.29979035639413
2,0.25,2.5,0.0
2,0.25,3.0,0.0
2,0.5,1.0,14.29769392033543
2,0.5,1.5,4.989517819706498
2,0.5,2.0,0.8805031446540881
2,0.5,2.5,0.0
2,0.5,3.0,0.0
2,0.75,1.0,11.656184486373165
2,0.75,1.5,3.4800838574423483
2,0.75,2.0,0.670859538784067
2,0.75,2.5,0.0
2,0.75,3.0,0.0
2,1.0,1.0,9.60167714884696
2,1.0,1.5,2.2641509433962264
2,1.0,2.0,0.46121593291404617
2,1.0,2.5,0.0
2,1.0,3.0,0.0
2,1.25,1.0,8.176100628930817
2,1.25,1.5,1.2159329140461215
2,1.25,2.0,0.25157232704402516
2,1.25,2.5,0.0
2,1.25,3.0,0.0
2,1.5,1.0,6.918238993710692
2,1.5,1.5,0.5450733752620545
2,1.5,2.0,0.04192872117400419
2,1.5,2.5,0.0
2,1.5,3.0,0.0
2,1.75,1.0,5.9958071278826
2,1.75,1.5,0.29350104821802936
2,1.75,2.0,0.0
2,1.75,2.5,0.0
2,1.75,3.0,0.0
2,2.0,1.0,5.157232704402516
2,2.0,1.5,0.08385744234800838
2,2.0,2.0,0.0
2,2.0,2.5,0.0
2,2.0,3.0,0.0
